EmploymentField,EmploymentStatus,Gender,LanguageAtHome,JobWherePref,SchoolDegree,Income
software development and IT,Employed for wages,male,English,no preference,"trade, technical, or vocational training",54000.0
education,Self-employed freelancer,male,French,in an office with other developers,some high school,6200.0
sales,Employed for wages,male,English,no preference,associate's degree,16000.0
software development and IT,Employed for wages,male,Persian,no preference,bachelor's degree,36000.0
office and administrative support,Employed for wages,female,English,in an office with other developers,"professional degree (MBA, MD, JD, etc.)",11000.0
office and administrative support,Employed for wages,male,English,no preference,bachelor's degree,40000.0
transportation,Employed for wages,male,English,no preference,bachelor's degree,38000.0
office and administrative support,Employed for wages,female,English,no preference,"some college credit, no degree",32000.0
software development and IT,Employed for wages,male,English,no preference,bachelor's degree,80000.0
food and beverage,Employed for wages,female,English,in an office with other developers,master's degree (non-professional),15000.0
software development and IT,Employed for wages,male,Yue (Cantonese) Chinese,in an office with other developers,bachelor's degree,75000.0
"arts, entertainment, sports, or media",Employed for wages,female,English,in an office with other developers,bachelor's degree,45000.0
sales,Employed for wages,male,Polish,in an office with other developers,some high school,6000.0
food and beverage,Employed for wages,male,English,in an office with other developers,high school diploma or equivalent (GED),20000.0
food and beverage,Employed for wages,male,Persian,in an office with other developers,associate's degree,12000.0
food and beverage,Employed for wages,female,English,from home,bachelor's degree,15000.0
software development and IT,Self-employed freelancer,male,English,in an office with other developers,bachelor's degree,20000.0
health care,Employed for wages,female,English,in an office with other developers,bachelor's degree,80000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,40000.0
education,Self-employed freelancer,male,English,in an office with other developers,"some college credit, no degree",15000.0
software development and IT,Employed for wages,male,Hindi,from home,master's degree (non-professional),74000.0
software development and IT,Employed for wages,male,Hungarian,from home,some high school,16000.0
software development and IT,Employed for wages,male,English,in an office with other developers,Ph.D.,75000.0
food and beverage,Employed for wages,male,English,in an office with other developers,high school diploma or equivalent (GED),20000.0
education,Employed for wages,female,English,in an office with other developers,bachelor's degree,26000.0
food and beverage,Employed for wages,female,English,from home,bachelor's degree,6700.0
education,Employed for wages,female,English,in an office with other developers,bachelor's degree,40000.0
software development and IT,Employed for wages,male,English,from home,bachelor's degree,46000.0
"arts, entertainment, sports, or media",Employed for wages,male,Hungarian,in an office with other developers,bachelor's degree,21000.0
